total_txns,contract_num,tx_per_contract,block_size_1t,validerr_rate_1t,block_size_1t_opt,validerr_rate_1t_opt,block_size_8t,validerr_rate_8t,block_size_2t,validerr_rate_2t,block_size_4t,validerr_rate_4t
1600,1,1600,143,50,154,54,,,,,,
1600,2,800,153,43,157,50,,,,,,
1600,4,400,154,36,159,36,,,,,,
1600,10,160,156,19,161,27,12,95,20,94,13,95
1600,20,80,167,14,163,17,18,92,35,89,26,92
1600,40,40,170,6,167,14,38,82,59,82,45,86
1600,100,16,182,1,173,8,108,65,120,63,104,69
1600,200,8,176,2,181,5,180,45,181,40,165,53
1600,400,4,173,1,179,2,219,21,209,25,221,30
1600,800,2,171,0,173,0,236,12,239,12,287,13
1600,1600,1,179,0,181,0,303,0,241,0,329,0
